"course_name","date","tees","hole","par","gross","stroke","lie","club","yds_to_target","yds_traveled","on_target","miss_direction","shot_type"
"Randolph North","2026-04-19","blue","hole_18",4,8,5,"rough","GW",25,23,"no","short","chip"
"Dell Urich","2026-04-26","combo","hole_16",4,6,2,"rough","PW",150,107,"no","short","full"
"Randolph North","2026-01-04","combo","hole_3",5,5,2,"sand","6",200,200,"yes","on_target","fwbunker"
"Randolph North","2026-01-04","combo","hole_4",4,5,1,"tee","D",270,270,"no","right","full"
"Randolph North","2026-01-04","combo","hole_5",4,4,1,"tee","D",270,270,"yes","on_target","full"
"Randolph North","2026-01-04","combo","hole_12",4,6,2,"rough","9",136,136,"no","short","full"
"Dell Urich","2026-01-11","combo","hole_5",3,4,1,"tee","9",155,159,"no","long","full"
"Dell Urich","2026-01-11","combo","hole_16",4,5,1,"tee","4",220,193,"no","right","full"
"Dell Urich","2026-01-11","combo","hole_17",3,3,1,"tee","9",150,129,"yes","on_target","full"
"Silverbell","2026-01-18","white","hole_1",4,4,1,"tee","4",220,205,"no","right","full"
"Silverbell","2026-01-18","white","hole_3",3,4,1,"tee","GW",120,125,"no","long","choked"
"Silverbell","2026-01-18","white","hole_8",4,6,1,"tee","4",220,234,"no","right","full"
"Silverbell","2026-01-18","white","hole_14",4,5,2,"rough","GW",115,114,"yes","on_target","choked"
"Randolph North","2026-02-08","combo","hole_3",5,5,1,"tee","D",270,243,"no","right","full"
"Randolph North","2026-02-08","combo","hole_10",4,4,1,"tee","D",270,247,"no","right","full"
"Randolph North","2026-02-08","combo","hole_10",4,4,2,"rough","6",190,132,"no","short","punch"
"Dell Urich","2026-02-22","combo","hole_6",5,5,3,"rough","GW",65,84,"no","long","punch"
"Dell Urich","2026-02-22","combo","hole_7",4,7,3,"rough","GW",70,55,"no","short","punch"
"Dell Urich","2026-02-22","combo","hole_14",4,7,3,"rough","GW",45,21,"no","short","chip"
"Dell Urich","2026-02-22","combo","hole_14",4,7,5,"fairway","PW",10,10,"yes","on_target","chip"
"Dell Urich","2026-03-29","blue","hole_1",4,6,1,"tee","4",220,228,"yes","on_target","tee"
"Dell Urich","2026-03-29","blue","hole_7",4,5,1,"tee","D",270,272,"yes","on_target","tee"
"Dell Urich","2026-03-29","blue","hole_14",4,6,4,"fairway","GW",10,12,"yes","on_target","chip"
"Randolph North","2026-04-05","blue","hole_4",4,5,3,"fairway","PW",20,20,"no","long","chip"
"Randolph North","2026-04-05","blue","hole_6",3,4,2,"rough","GW",19,8,"yes","on_target","chip"
"Randolph North","2026-04-05","blue","hole_11",3,3,1,"tee","6",190,188,"yes","on_target","tee"
"Randolph North","2026-04-19","blue","hole_1",4,5,3,"fairway","PW",10,11,"yes","on_target","chip"
"Randolph North","2026-04-19","blue","hole_9",5,8,5,"sand","LW",15,10,"yes","on_target","gsbunker"
"Randolph North","2026-04-19","blue","hole_14",4,4,2,"rough","8",165,154,"yes","on_target","full"
"Dell Urich","2026-04-26","combo","hole_2",3,5,2,"rough","SW",55,30,"yes","on_target","chip"
"Dell Urich","2026-04-26","combo","hole_6",5,7,5,"sand","LW",20,15,"yes","on_target","gsbunker"
"Dell Urich","2026-04-26","combo","hole_13",5,6,1,"tee","D",270,217,"no","right","tee"
"Dell Urich","2026-04-26","combo","hole_16",4,6,1,"tee","D",270,273,"no","right","tee"
"Randolph North","2026-01-04","combo","hole_7",4,5,2,"rough","GW",110,110,"no","long","full"
"Randolph North","2026-01-04","combo","hole_14",4,4,1,"tee","D",270,270,"no","right","full"
"Randolph North","2026-01-04","combo","hole_16",5,5,1,"tee","D",270,270,"no","right","full"
"Randolph North","2026-01-04","combo","hole_17",4,6,2,"rough","3W",250,250,"no","right","full"
"Dell Urich","2026-01-11","combo","hole_12",4,5,3,"fairway","GW",120,105,"yes","on_target","choked"
"Silverbell","2026-01-18","white","hole_5",4,6,2,"fairway","GW",82,100,"no","long","choked"
"Randolph North","2026-01-25","combo","hole_17",4,6,2,"rough","4",200,122,"yes","on_target","punch"
"Randolph North","2026-01-25","combo","hole_18",4,4,1,"tee","D",260,292,"no","left","full"
"Randolph North","2026-02-08","combo","hole_1",4,5,3,"fairway","PW",15,13,"yes","on_target","chip"
"Randolph North","2026-02-08","combo","hole_5",4,4,1,"tee","D",270,302,"no","left","full"
"Randolph North","2026-02-08","combo","hole_7",4,5,2,"rough","5",135,129,"no","short","rough"
"Randolph North","2026-02-08","combo","hole_7",4,5,3,"sand","LW",15,15,"yes","on_target","gsbunker"
"Randolph North","2026-02-08","combo","hole_12",4,6,1,"tee","D",270,273,"no","right","full"
"Randolph North","2026-02-08","combo","hole_13",5,6,1,"tee","D",270,261,"no","right","full"
"Randolph North","2026-02-08","combo","hole_16",5,4,2,"rough","6",180,170,"yes","on_target","full"
"Dell Urich","2026-02-22","combo","hole_1",4,6,4,"rough","SW",10,2,"no","short","chip"
"Dell Urich","2026-02-22","combo","hole_8",4,5,3,"rough","GW",25,34,"yes","long","chip"
"Dell Urich","2026-02-22","combo","hole_11",3,4,1,"tee","8",165,155,"no","short","full"
"Dell Urich","2026-02-22","combo","hole_13",5,8,5,"sand","LW",15,4,"no","short","gsbunker"
"Randolph North","2026-03-08","blue","hole_10",4,6,1,"tee","D",270,246,"no","right","tee"
"Randolph North","2026-03-08","blue","hole_12",4,5,1,"tee","D",270,251,"no","right","tee"
"Randolph North","2026-03-08","blue","hole_17",4,4,1,"tee","D",270,263,"yes","on_target","tee"
"Dell Urich","2026-03-29","blue","hole_6",5,6,1,"tee","D",270,252,"no","right","tee"
"Dell Urich","2026-03-29","blue","hole_12",4,4,1,"tee","D",270,253,"yes","on_target","tee"
"Dell Urich","2026-03-29","blue","hole_15",4,3,1,"tee","D",270,269,"no","right","tee"
"Randolph North","2026-04-19","blue","hole_17",4,6,3,"fairway","GW",55,55,"yes","on_target","chip"
"Dell Urich","2026-04-26","combo","hole_7",4,5,3,"rough","GW",15,13,"yes","on_target","chip"
"Dell Urich","2026-04-26","combo","hole_9",3,4,2,"fairway","GW",30,33,"yes","on_target","chip"
"Dell Urich","2026-04-26","combo","hole_13",5,6,5,"sand","LW",15,10,"yes","on_target","gsbunker"
"Dell Urich","2026-04-26","combo","hole_15",4,4,2,"fairway","GW",55,65,"yes","on_target","choked"
"Randolph North","2026-01-04","combo","hole_13",5,5,1,"tee","D",270,270,"yes","on_target","full"
