"course_name","lat","long","tees","to_par","slope","course_rating","hole","yds","par","hole_handicap"
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,16,561,5,4
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,17,197,3,14
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,18,365,4,12
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,1,485,5,5
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,2,296,4,11
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,3,388,4,3
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,4,296,4,9
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,5,411,4,7
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,6,172,3,15
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,7,467,5,1
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,8,176,3,13
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,9,276,4,17
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,10,308,4,8
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,11,183,3,10
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,12,546,5,2
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,13,340,4,16
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,14,334,4,6
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,15,115,3,18
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,16,529,5,4
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,17,177,3,14
"Quarry Pines",32.361187,-111.1022155,"combo",71,127,68.8,18,350,4,12
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,1,477,5,5
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,2,276,4,11
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,3,359,4,3
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,4,272,4,9
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,5,355,4,7
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,6,165,3,15
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,7,452,5,1
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,8,146,3,13
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,9,249,4,17
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,10,289,4,8
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,11,171,3,10
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,12,521,5,2
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,13,299,4,16
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,14,299,4,6
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,15,106,3,18
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,16,497,5,4
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,17,134,3,14
"Quarry Pines",32.361187,-111.1022155,"white",71,117,66.7,18,304,4,12
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,1,365,4,7
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,2,415,4,9
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,3,569,5,11
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,4,429,4,1
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,5,440,4,3
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,6,136,3,13
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,7,373,4,15
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,8,198,3,5
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,9,469,5,17
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,10,423,4,2
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,11,197,3,14
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,12,388,4,10
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,13,480,5,16
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,14,432,4,8
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,15,193,3,6
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,16,574,5,18
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,17,368,4,12
"Randolph North",32.216721,-110.9138944,"blue",72,126,71.7,18,434,4,4
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,1,365,4,7
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,2,337,4,9
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,3,550,5,11
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,4,412,4,1
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,5,411,4,3
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,6,136,3,13
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,7,373,4,15
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,8,181,3,5
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,9,469,5,17
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,10,411,4,2
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,11,187,3,14
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,12,388,4,10
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,13,480,5,16
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,14,432,4,8
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,15,172,3,6
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,16,560,5,18
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,17,368,4,12
"Randolph North",32.216721,-110.9138944,"combo",72,123,70.4,18,407,4,4
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,1,354,4,7
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,2,337,4,9
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,3,550,5,11
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,4,412,4,1
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,5,411,4,3
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,6,126,3,13
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,7,342,4,15
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,8,181,3,5
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,9,441,5,17
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,10,411,4,2
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,11,187,3,14
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,12,369,4,10
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,13,471,5,16
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,14,405,4,8
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,15,172,3,6
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,16,560,5,18
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,17,360,4,12
"Randolph North",32.216721,-110.9138944,"white",72,120,69.8,18,407,4,4
"Sewailo",32.1228629,-111.0889979,"blue",72,132,71,1,332,4,8
"Sewailo",32.1228629,-111.0889979,"blue",72,132,71,2,334,4,16
"Sewailo",32.1228629,-111.0889979,"blue",72,132,71,3,138,3,10
"Sewailo",32.1228629,-111.0889979,"blue",72,132,71,4,384,4,2
"Sewailo",32.1228629,-111.0889979,"blue",72,132,71,5,445,4,4
"Sewailo",32.1228629,-111.0889979,"blue",72,132,71,6,527,5,18
"Sewailo",32.1228629,-111.0889979,"blue",72,132,71,7,180,3,12
"Sewailo",32.1228629,-111.0889979,"blue",72,132,71,8,547,5,14
"Sewailo",32.1228629,-111.0889979,"blue",72,132,71,9,390,4,6
"Sewailo",32.1228629,-111.0889979,"blue",72,132,71,10,618,5,1
